trial_number,value,params
0,0.3883770561978852,"{'clf_lr': 0.030909112509577365, 'dropout': 0.09003024282798855, 'reduction': 'sum', 'n_layers': 3, 'pos_weight': 3.5435332056899234, 'n_units_l0': 126, 'n_units_l1': 339, 'n_units_l2': 578}"
1,0.3916013775838763,"{'clf_lr': 0.013878342843636432, 'dropout': 0.277514730165609, 'reduction': 'mean', 'n_layers': 5, 'pos_weight': 2.937616664242122, 'n_units_l0': 108, 'n_units_l1': 377, 'n_units_l2': 353, 'n_units_l3': 421, 'n_units_l4': 374}"
2,0.3463537061479378,"{'clf_lr': 0.06481079583836803, 'dropout': 0.2104170090649572, 'reduction': 'mean', 'n_layers': 1, 'pos_weight': 3.6080332820377246, 'n_units_l0': 488}"
3,0.03854875283446712,"{'clf_lr': 0.06643664137648078, 'dropout': 0.044415460383978145, 'reduction': 'sum', 'n_layers': 1, 'pos_weight': 1.4406675086038412, 'n_units_l0': 34}"
4,0.34673705403796073,"{'clf_lr': 0.035289673550902706, 'dropout': 0.20255656095822583, 'reduction': 'mean', 'n_layers': 5, 'pos_weight': 4.139381114778793, 'n_units_l0': 467, 'n_units_l1': 611, 'n_units_l2': 290, 'n_units_l3': 171, 'n_units_l4': 479}"
5,0.3833250164111736,"{'clf_lr': 0.09196481616910687, 'dropout': 0.11227075500771522, 'reduction': 'mean', 'n_layers': 6, 'pos_weight': 4.639608529628393, 'n_units_l0': 78, 'n_units_l1': 629, 'n_units_l2': 509, 'n_units_l3': 671, 'n_units_l4': 661, 'n_units_l5': 52}"
6,0.17981445285283976,"{'clf_lr': 0.0559684740089289, 'dropout': 0.9784341382338971, 'reduction': 'sum', 'n_layers': 1, 'pos_weight': 2.4034714682109377, 'n_units_l0': 511}"
7,0.3331997031279656,"{'clf_lr': 0.047364688312402745, 'dropout': 0.1613822047918222, 'reduction': 'sum', 'n_layers': 6, 'pos_weight': 3.9741235807289215, 'n_units_l0': 708, 'n_units_l1': 588, 'n_units_l2': 409, 'n_units_l3': 688, 'n_units_l4': 577, 'n_units_l5': 429}"
8,0.36355356854903864,"{'clf_lr': 0.0673460427592398, 'dropout': 0.19729050993300346, 'reduction': 'sum', 'n_layers': 6, 'pos_weight': 4.060272290542798, 'n_units_l0': 226, 'n_units_l1': 503, 'n_units_l2': 609, 'n_units_l3': 493, 'n_units_l4': 78, 'n_units_l5': 496}"
9,0.04600650726271274,"{'clf_lr': 0.0634973878070778, 'dropout': 0.6129165078424905, 'reduction': 'sum', 'n_layers': 5, 'pos_weight': 1.171968006109422, 'n_units_l0': 355, 'n_units_l1': 389, 'n_units_l2': 210, 'n_units_l3': 542, 'n_units_l4': 245}"
10,0.41837919778278443,"{'clf_lr': 0.004282844326969189, 'dropout': 0.5619576607781227, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 2.5946624543163317, 'n_units_l0': 250, 'n_units_l1': 74, 'n_units_l2': 30}"
11,0.40736311408852166,"{'clf_lr': 0.0005545735598882495, 'dropout': 0.48030270921552404, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 2.5263509559798467, 'n_units_l0': 250, 'n_units_l1': 38, 'n_units_l2': 57}"
12,0.21802765399170299,"{'clf_lr': 0.0023163104058441923, 'dropout': 0.5481281566919107, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 2.1609450446330243, 'n_units_l0': 280, 'n_units_l1': 8, 'n_units_l2': 22}"
13,0.02586098541980895,"{'clf_lr': 0.002049771502482101, 'dropout': 0.7726009995770788, 'reduction': 'mean', 'n_layers': 2, 'pos_weight': 1.7414494708190653, 'n_units_l0': 227, 'n_units_l1': 4}"
14,0.0,"{'clf_lr': 0.01796926506299913, 'dropout': 0.3832175263872238, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 0.7135837528494182, 'n_units_l0': 350, 'n_units_l1': 160, 'n_units_l2': 12, 'n_units_l3': 4}"
15,0.3096340864215985,"{'clf_lr': 0.016060458322190156, 'dropout': 0.6788025754258586, 'reduction': 'mean', 'n_layers': 2, 'pos_weight': 2.98650631683482, 'n_units_l0': 631, 'n_units_l1': 181}"
16,0.4007663239066773,"{'clf_lr': 1.2471358532904764e-05, 'dropout': 0.4161185403192156, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 2.2500827828406798, 'n_units_l0': 183, 'n_units_l1': 154, 'n_units_l2': 131, 'n_units_l3': 250}"
17,0.1897115163583875,"{'clf_lr': 0.02926548254537825, 'dropout': 0.7714250629566197, 'reduction': 'mean', 'n_layers': 2, 'pos_weight': 2.7274597427619875, 'n_units_l0': 303, 'n_units_l1': 751}"
18,0.21351003240295024,"{'clf_lr': 0.08853440093206125, 'dropout': 0.4462608667383105, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 3.2744132582135075, 'n_units_l0': 427, 'n_units_l1': 95, 'n_units_l2': 738}"
19,0.13748385218921452,"{'clf_lr': 0.041330576856216834, 'dropout': 0.35112062606304384, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 1.8032669074885388, 'n_units_l0': 4, 'n_units_l1': 287, 'n_units_l2': 155, 'n_units_l3': 246}"
20,0.3459133121252021,"{'clf_lr': 0.011242328100867657, 'dropout': 0.5428047573072914, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 2.6143103103060654, 'n_units_l0': 177, 'n_units_l1': 250, 'n_units_l2': 103}"
21,0.3393909679519982,"{'clf_lr': 0.0008437192145970616, 'dropout': 0.45608817205628016, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 2.1844436318736213, 'n_units_l0': 180, 'n_units_l1': 98, 'n_units_l2': 109, 'n_units_l3': 270}"
22,0.20427067723268422,"{'clf_lr': 0.024380062572763057, 'dropout': 0.6660609427839329, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 1.983697393363514, 'n_units_l0': 249, 'n_units_l1': 119, 'n_units_l2': 229, 'n_units_l3': 99}"
23,0.19805213509733607,"{'clf_lr': 0.0076690052606487, 'dropout': 0.3455623296163673, 'reduction': 'mean', 'n_layers': 2, 'pos_weight': 1.373926388946644, 'n_units_l0': 320, 'n_units_l1': 56}"
24,0.38287928826968165,"{'clf_lr': 0.023710011448842803, 'dropout': 0.5051905300022769, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 2.5112620671106063, 'n_units_l0': 170, 'n_units_l1': 205, 'n_units_l2': 80}"
25,0.4069833837281609,"{'clf_lr': 0.006126355124058961, 'dropout': 0.7506458482927497, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 3.127133303457118, 'n_units_l0': 402, 'n_units_l1': 59, 'n_units_l2': 192, 'n_units_l3': 356}"
26,0.07403177020538527,"{'clf_lr': 0.010380045334824704, 'dropout': 0.8969535151261028, 'reduction': 'mean', 'n_layers': 5, 'pos_weight': 3.248732229412359, 'n_units_l0': 423, 'n_units_l1': 56, 'n_units_l2': 211, 'n_units_l3': 382, 'n_units_l4': 757}"
27,0.3331997031279656,"{'clf_lr': 0.02072938331659007, 'dropout': 0.7519290227902572, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 3.1359838224163603, 'n_units_l0': 558, 'n_units_l1': 244, 'n_units_l2': 13}"
28,0.3331997031279656,"{'clf_lr': 0.08101914469214547, 'dropout': 0.6154317947542716, 'reduction': 'mean', 'n_layers': 2, 'pos_weight': 3.4527872772968675, 'n_units_l0': 414, 'n_units_l1': 53}"
29,0.213662294581264,"{'clf_lr': 0.031514939398102515, 'dropout': 0.9315692003439159, 'reduction': 'sum', 'n_layers': 3, 'pos_weight': 3.7060508233763256, 'n_units_l0': 371, 'n_units_l1': 112, 'n_units_l2': 255}"
30,0.16765578731855127,"{'clf_lr': 0.0388269859743237, 'dropout': 0.8183228128590596, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 4.75246603537242, 'n_units_l0': 279, 'n_units_l1': 449, 'n_units_l2': 164, 'n_units_l3': 566}"
31,0.40756200302673196,"{'clf_lr': 0.005922983313198594, 'dropout': 0.4260719226865252, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 2.3546451870311005, 'n_units_l0': 134, 'n_units_l1': 156, 'n_units_l2': 83, 'n_units_l3': 342}"
32,0.4140232913479593,"{'clf_lr': 0.007344915555666568, 'dropout': 0.3021684056703306, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 2.8277025038668624, 'n_units_l0': 108, 'n_units_l1': 49, 'n_units_l2': 55, 'n_units_l3': 364}"
33,0.3900453560825079,"{'clf_lr': 0.013589229563439867, 'dropout': 0.2729939540756307, 'reduction': 'mean', 'n_layers': 5, 'pos_weight': 2.805434922268494, 'n_units_l0': 112, 'n_units_l1': 145, 'n_units_l2': 66, 'n_units_l3': 317, 'n_units_l4': 6}"
34,0.42741760827371095,"{'clf_lr': 0.008880380299076169, 'dropout': 0.3131439106797406, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 2.824622176664386, 'n_units_l0': 85, 'n_units_l1': 213, 'n_units_l2': 64}"
35,0.3949810956091888,"{'clf_lr': 0.007984705759674568, 'dropout': 0.28591699452606295, 'reduction': 'mean', 'n_layers': 5, 'pos_weight': 2.9748365681971793, 'n_units_l0': 69, 'n_units_l1': 294, 'n_units_l2': 65, 'n_units_l3': 439, 'n_units_l4': 224}"
36,0.2242000021426895,"{'clf_lr': 0.027004543076433764, 'dropout': 0.27763022332538867, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 1.9149849764074514, 'n_units_l0': 132, 'n_units_l1': 193, 'n_units_l2': 121, 'n_units_l3': 610}"
37,0.3402482455636682,"{'clf_lr': 0.01749786439305529, 'dropout': 0.3184854016457698, 'reduction': 'sum', 'n_layers': 3, 'pos_weight': 3.558583574828199, 'n_units_l0': 55, 'n_units_l1': 227, 'n_units_l2': 299}"
