trial_number,value,params
0,0.5821301837762197,"{'clf_lr': 0.07038192597072175, 'clf_dropout': 0.5299927572830626, 'clf_n_layers': 2, 'clf_pos_weight': 2.251366536623422, 'clf_n_units_l0': 53, 'clf_n_units_l1': 558}"
1,0.5659458140532175,"{'clf_lr': 0.04261670121731124, 'clf_dropout': 0.7840928827741318, 'clf_n_layers': 4, 'clf_pos_weight': 0.8151290109875777, 'clf_n_units_l0': 740, 'clf_n_units_l1': 152, 'clf_n_units_l2': 588, 'clf_n_units_l3': 663}"
2,0.5368874337938097,"{'clf_lr': 0.09263860250086671, 'clf_dropout': 0.9101773957680431, 'clf_n_layers': 4, 'clf_pos_weight': 0.8475121001925607, 'clf_n_units_l0': 11, 'clf_n_units_l1': 617, 'clf_n_units_l2': 422, 'clf_n_units_l3': 387}"
3,0.4682499302758111,"{'clf_lr': 0.0024912444704764942, 'clf_dropout': 0.3993861255097788, 'clf_n_layers': 3, 'clf_pos_weight': 2.3320762768200747, 'clf_n_units_l0': 419, 'clf_n_units_l1': 266, 'clf_n_units_l2': 279}"
4,0.5743474331167009,"{'clf_lr': 0.0905986498021433, 'clf_dropout': 0.3774562359066833, 'clf_n_layers': 5, 'clf_pos_weight': 4.954754892763583, 'clf_n_units_l0': 449, 'clf_n_units_l1': 214, 'clf_n_units_l2': 400, 'clf_n_units_l3': 597, 'clf_n_units_l4': 628}"
5,0.5598055852784051,"{'clf_lr': 0.06868752500067922, 'clf_dropout': 0.25278549453122257, 'clf_n_layers': 4, 'clf_pos_weight': 1.2352950997468897, 'clf_n_units_l0': 246, 'clf_n_units_l1': 608, 'clf_n_units_l2': 384, 'clf_n_units_l3': 404}"
6,0.5885559784041511,"{'clf_lr': 0.09794491392706188, 'clf_dropout': 0.3876019160812665, 'clf_n_layers': 1, 'clf_pos_weight': 2.4205229579757925, 'clf_n_units_l0': 492}"
7,0.563442200422287,"{'clf_lr': 0.09033077714742088, 'clf_dropout': 0.25828971912511356, 'clf_n_layers': 4, 'clf_pos_weight': 2.3623800980433023, 'clf_n_units_l0': 556, 'clf_n_units_l1': 312, 'clf_n_units_l2': 741, 'clf_n_units_l3': 162}"
8,0.49411920706431073,"{'clf_lr': 0.08827076608851221, 'clf_dropout': 0.2165017524386873, 'clf_n_layers': 6, 'clf_pos_weight': 2.840992352902316, 'clf_n_units_l0': 213, 'clf_n_units_l1': 593, 'clf_n_units_l2': 592, 'clf_n_units_l3': 365, 'clf_n_units_l4': 612, 'clf_n_units_l5': 208}"
9,0.5348622136645846,"{'clf_lr': 0.035029743853246975, 'clf_dropout': 0.21372327074159625, 'clf_n_layers': 4, 'clf_pos_weight': 3.6025029323815, 'clf_n_units_l0': 398, 'clf_n_units_l1': 343, 'clf_n_units_l2': 613, 'clf_n_units_l3': 669}"
