trial_number,value,params
0,0.11972753299542,"{'model_lr': 0.00482570557003688, 'nhead': 2, 'num_layers': 4, 'margin': 0.12016382807215531}"
1,0.6577634078491338,"{'model_lr': 0.004986863615330507, 'nhead': 4, 'num_layers': 4, 'margin': 0.6633835146750096}"
2,0.9126830860372124,"{'model_lr': 0.008034485770473502, 'nhead': 2, 'num_layers': 7, 'margin': 0.9126830542066947}"
3,0.4368579455876474,"{'model_lr': 0.0023063566210660183, 'nhead': 6, 'num_layers': 6, 'margin': 0.44130763911696647}"
4,0.01398893960542933,"{'model_lr': 0.008477850710673406, 'nhead': 4, 'num_layers': 2, 'margin': 0.014078626845328013}"
5,0.8503698721488882,"{'model_lr': 0.005043881639618377, 'nhead': 6, 'num_layers': 8, 'margin': 0.8503699700858243}"
6,0.6953279323872855,"{'model_lr': 0.008085412269547216, 'nhead': 4, 'num_layers': 2, 'margin': 0.7154294706465171}"
7,0.9755849820538024,"{'model_lr': 0.007853189471786285, 'nhead': 2, 'num_layers': 4, 'margin': 0.9755868763452071}"
8,0.8191444343056818,"{'model_lr': 0.007906410629370277, 'nhead': 2, 'num_layers': 3, 'margin': 0.8328462034778739}"
9,0.1509304717044737,"{'model_lr': 0.008455006922040481, 'nhead': 8, 'num_layers': 5, 'margin': 0.15093047742955057}"
10,0.3679255284770042,"{'model_lr': 0.009778577980046436, 'nhead': 8, 'num_layers': 2, 'margin': 0.3714603118543896}"
11,0.029484948569400107,"{'model_lr': 0.004674412865107096, 'nhead': 4, 'num_layers': 3, 'margin': 0.028582240059008966}"
12,0.06483564833995493,"{'model_lr': 0.00260923014485993, 'nhead': 4, 'num_layers': 2, 'margin': 0.03720312424019734}"
13,0.2595029276438635,"{'model_lr': 0.006049609237195979, 'nhead': 6, 'num_layers': 3, 'margin': 0.26227071125122625}"
14,0.036145898463204436,"{'model_lr': 0.0009545481058382864, 'nhead': 4, 'num_layers': 3, 'margin': 0.014331886648549341}"
