trial_number,value,params
16,0.4294787691095677,"{'clf_lr': 0.0008101931873246438, 'dropout': 0.7614838956635307, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 3.851736537570043, 'n_units_l0': 260, 'n_units_l1': 11, 'n_units_l2': 738, 'n_units_l3': 611}"
17,0.21778110060175931,"{'clf_lr': 0.0016410658102898456, 'dropout': 0.8981207529399229, 'reduction': 'mean', 'n_layers': 6, 'pos_weight': 3.603917954934822, 'n_units_l0': 269, 'n_units_l1': 24, 'n_units_l2': 571, 'n_units_l3': 545, 'n_units_l4': 753, 'n_units_l5': 688}"
18,0.22495526653949469,"{'clf_lr': 0.08489776842589979, 'dropout': 0.7573044506433911, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 2.82206569653326, 'n_units_l0': 650, 'n_units_l1': 185, 'n_units_l2': 172}"
19,0.363294308391912,"{'clf_lr': 0.02443454452327757, 'dropout': 0.16335864586797216, 'reduction': 'mean', 'n_layers': 5, 'pos_weight': 3.9707980128128515, 'n_units_l0': 269, 'n_units_l1': 242, 'n_units_l2': 347, 'n_units_l3': 604, 'n_units_l4': 329}"
20,0.34852513821852793,"{'clf_lr': 0.03955404850069435, 'dropout': 0.493360093094186, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 4.988545011394286, 'n_units_l0': 112, 'n_units_l1': 73, 'n_units_l2': 580, 'n_units_l3': 379}"
21,0.3033650707001469,"{'clf_lr': 0.013465875543973887, 'dropout': 0.6865515138263334, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 3.3308957463497233, 'n_units_l0': 87, 'n_units_l1': 447, 'n_units_l2': 758, 'n_units_l3': 764}"
22,0.0,"{'clf_lr': 0.01078086762570836, 'dropout': 0.8630838361169174, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 4.040815559162278, 'n_units_l0': 213, 'n_units_l1': 637, 'n_units_l2': 761, 'n_units_l3': 648}"
23,0.3953723940810084,"{'clf_lr': 3.650575635057336e-05, 'dropout': 0.4238941062766709, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 4.385526068928181, 'n_units_l0': 78, 'n_units_l1': 560, 'n_units_l2': 633}"
24,0.26277382542934763,"{'clf_lr': 0.01304675761168756, 'dropout': 0.6836432229094928, 'reduction': 'mean', 'n_layers': 5, 'pos_weight': 4.6658491918369505, 'n_units_l0': 341, 'n_units_l1': 9, 'n_units_l2': 469, 'n_units_l3': 652, 'n_units_l4': 473}"
25,0.363735190828839,"{'clf_lr': 0.01993212356505535, 'dropout': 0.5810655828172697, 'reduction': 'mean', 'n_layers': 2, 'pos_weight': 3.9915578762986565, 'n_units_l0': 152, 'n_units_l1': 110}"
26,0.2678139880767632,"{'clf_lr': 0.007846930871174983, 'dropout': 0.6805098403881621, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 3.4703678263974824, 'n_units_l0': 486, 'n_units_l1': 278, 'n_units_l2': 473, 'n_units_l3': 464}"
27,0.24163412837856482,"{'clf_lr': 0.0369995547637621, 'dropout': 0.9702099049560678, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 2.5856453018619403, 'n_units_l0': 223, 'n_units_l1': 391, 'n_units_l2': 666}"
28,0.3078049533134708,"{'clf_lr': 0.022560929568839667, 'dropout': 0.36840481826062904, 'reduction': 'mean', 'n_layers': 5, 'pos_weight': 2.8687223654129417, 'n_units_l0': 67, 'n_units_l1': 763, 'n_units_l2': 245, 'n_units_l3': 765, 'n_units_l4': 233}"
29,0.18350945389156087,"{'clf_lr': 0.0531588511289572, 'dropout': 0.5552206790975368, 'reduction': 'mean', 'n_layers': 6, 'pos_weight': 1.8991521433701526, 'n_units_l0': 331, 'n_units_l1': 231, 'n_units_l2': 768, 'n_units_l3': 645, 'n_units_l4': 579, 'n_units_l5': 11}"
30,0.37977722990297214,"{'clf_lr': 0.01528035285870604, 'dropout': 0.21681292979554984, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 4.0401503310168785, 'n_units_l0': 426, 'n_units_l1': 105, 'n_units_l2': 116, 'n_units_l3': 331}"
31,0.33423692267668237,"{'clf_lr': 0.00017967872600502081, 'dropout': 0.009714523247281892, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 2.1358058977728005, 'n_units_l0': 110, 'n_units_l1': 55, 'n_units_l2': 361, 'n_units_l3': 559}"
32,0.34603689693708983,"{'clf_lr': 0.006336275874474448, 'dropout': 0.18546879239098324, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 2.38186122463089, 'n_units_l0': 120, 'n_units_l1': 4, 'n_units_l2': 412, 'n_units_l3': 691}"
33,0.32144773870940163,"{'clf_lr': 0.006435962128488265, 'dropout': 0.11475670153897802, 'reduction': 'mean', 'n_layers': 5, 'pos_weight': 0.5687281970933054, 'n_units_l0': 48, 'n_units_l1': 97, 'n_units_l2': 295, 'n_units_l3': 556, 'n_units_l4': 138}"
34,0.3833250164111736,"{'clf_lr': 1.6037854286832243e-05, 'dropout': 0.737834868999575, 'reduction': 'sum', 'n_layers': 3, 'pos_weight': 3.820548979757283, 'n_units_l0': 182, 'n_units_l1': 60, 'n_units_l2': 616}"
35,0.2018952054207019,"{'clf_lr': 0.007551638127701668, 'dropout': 0.6412639718598732, 'reduction': 'sum', 'n_layers': 4, 'pos_weight': 1.5516049915553265, 'n_units_l0': 7, 'n_units_l1': 149, 'n_units_l2': 421, 'n_units_l3': 691}"
36,0.3315557339436513,"{'clf_lr': 0.04257327137175476, 'dropout': 0.5230698179177311, 'reduction': 'mean', 'n_layers': 3, 'pos_weight': 4.6341066612024955, 'n_units_l0': 134, 'n_units_l1': 537, 'n_units_l2': 520}"
37,0.3883896140568289,"{'clf_lr': 0.026044777153157263, 'dropout': 0.22134193559546347, 'reduction': 'sum', 'n_layers': 2, 'pos_weight': 3.137751114146388, 'n_units_l0': 56, 'n_units_l1': 418}"
38,0.23996753583777325,"{'clf_lr': 0.016003526525509345, 'dropout': 0.8372240098368486, 'reduction': 'mean', 'n_layers': 4, 'pos_weight': 4.26917430220558, 'n_units_l0': 232, 'n_units_l1': 696, 'n_units_l2': 711, 'n_units_l3': 479}"
39,0.3118801820356828,"{'clf_lr': 0.06189802738982095, 'dropout': 0.07548643272809062, 'reduction': 'sum', 'n_layers': 5, 'pos_weight': 3.3610914015102624, 'n_units_l0': 301, 'n_units_l1': 172, 'n_units_l2': 326, 'n_units_l3': 597, 'n_units_l4': 553}"
