trial_number,value,params
0,5.328292736583972,"{'clf_lr': 0.06920636125419118, 'dropout': 0.09790038047394933, 'pos_weight': 0.7671149213669178, 'reduction': 'sum', 'n_layers': 4, 'n_units_l0': 23, 'n_units_l1': 263, 'n_units_l2': 205, 'n_units_l3': 470}"
1,9.617450474029823,"{'clf_lr': 0.0608592583808475, 'dropout': 0.2800425426945168, 'pos_weight': 2.27070055992119, 'reduction': 'sum', 'n_layers': 3, 'n_units_l0': 148, 'n_units_l1': 73, 'n_units_l2': 426}"
2,0.7134980972092873,"{'clf_lr': 0.0955388821701394, 'dropout': 0.40224513620445224, 'pos_weight': 1.2776886350907235, 'reduction': 'mean', 'n_layers': 1, 'n_units_l0': 715}"
3,9.21147531993008,"{'clf_lr': 0.09792000758434075, 'dropout': 0.34199761019921804, 'pos_weight': 2.077356572336576, 'reduction': 'sum', 'n_layers': 6, 'n_units_l0': 338, 'n_units_l1': 45, 'n_units_l2': 233, 'n_units_l3': 762, 'n_units_l4': 210, 'n_units_l5': 25}"
4,18.475462415085158,"{'clf_lr': 0.06024006550191194, 'dropout': 0.2529082482152567, 'pos_weight': 0.8417132763779133, 'reduction': 'sum', 'n_layers': 5, 'n_units_l0': 295, 'n_units_l1': 339, 'n_units_l2': 500, 'n_units_l3': 743, 'n_units_l4': 100}"
5,8.602385013358475,"{'clf_lr': 0.018185514019119282, 'dropout': 0.6441854707330597, 'pos_weight': 1.855208637559448, 'reduction': 'sum', 'n_layers': 5, 'n_units_l0': 420, 'n_units_l1': 749, 'n_units_l2': 210, 'n_units_l3': 572, 'n_units_l4': 75}"
6,2119.4719475987645,"{'clf_lr': 0.09231217305564461, 'dropout': 0.8046409444314427, 'pos_weight': 0.14095113667452897, 'reduction': 'sum', 'n_layers': 4, 'n_units_l0': 712, 'n_units_l1': 490, 'n_units_l2': 347, 'n_units_l3': 169}"
7,47.61309603477995,"{'clf_lr': 0.07973656726256834, 'dropout': 0.37314170398449054, 'pos_weight': 2.789941984380597, 'reduction': 'mean', 'n_layers': 5, 'n_units_l0': 188, 'n_units_l1': 176, 'n_units_l2': 109, 'n_units_l3': 626, 'n_units_l4': 246}"
8,9.586315526283622,"{'clf_lr': 0.0918129705655018, 'dropout': 0.3672338554478368, 'pos_weight': 2.335380938627211, 'reduction': 'sum', 'n_layers': 1, 'n_units_l0': 241}"
9,62.820461319888814,"{'clf_lr': 0.05949800418741082, 'dropout': 0.2938545309868912, 'pos_weight': 2.704089131529639, 'reduction': 'sum', 'n_layers': 5, 'n_units_l0': 373, 'n_units_l1': 254, 'n_units_l2': 454, 'n_units_l3': 356, 'n_units_l4': 172}"
10,0.7605164727835129,"{'clf_lr': 0.03493984617367516, 'dropout': 0.578078008383425, 'pos_weight': 1.2967998324165666, 'reduction': 'mean', 'n_layers': 1, 'n_units_l0': 730}"
11,0.7010235004065477,"{'clf_lr': 0.025646797081271735, 'dropout': 0.5516288778117899, 'pos_weight': 1.2909873636288798, 'reduction': 'mean', 'n_layers': 1, 'n_units_l0': 744}"
12,0.761680750181956,"{'clf_lr': 0.0007902844809578834, 'dropout': 0.995501791223542, 'pos_weight': 1.3790378717918954, 'reduction': 'mean', 'n_layers': 2, 'n_units_l0': 559, 'n_units_l1': 544}"
13,7.205726601402116,"{'clf_lr': 0.03653074775961193, 'dropout': 0.7160145627596124, 'pos_weight': 0.9020021718559581, 'reduction': 'mean', 'n_layers': 2, 'n_units_l0': 594, 'n_units_l1': 760}"
14,1.2878642590322076,"{'clf_lr': 0.03819972805522837, 'dropout': 0.4959697651397821, 'pos_weight': 1.7111779385771606, 'reduction': 'mean', 'n_layers': 2, 'n_units_l0': 589, 'n_units_l1': 593}"
15,0.26713717571797446,"{'clf_lr': 0.011421653294577977, 'dropout': 0.04559129842158993, 'pos_weight': 0.18848798515986043, 'reduction': 'mean', 'n_layers': 1, 'n_units_l0': 761}"
16,0.23963309556102708,"{'clf_lr': 0.012329147640108559, 'dropout': 0.04022190764541156, 'pos_weight': 0.19716015201934112, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 479, 'n_units_l1': 418, 'n_units_l2': 668}"
17,0.06570079425927483,"{'clf_lr': 0.0016656629489904262, 'dropout': 0.026999417353036077, 'pos_weight': 0.04133727873589743, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 495, 'n_units_l1': 404, 'n_units_l2': 735}"
18,0.39206694094667505,"{'clf_lr': 0.0018763639866022175, 'dropout': 0.16231544453726066, 'pos_weight': 0.4806493246800308, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 461, 'n_units_l1': 427, 'n_units_l2': 723}"
19,0.7951394231853023,"{'clf_lr': 0.013398928294382124, 'dropout': 0.008319021318038758, 'pos_weight': 0.009465207945887788, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 495, 'n_units_l1': 383, 'n_units_l2': 739}"
20,0.40396701350492425,"{'clf_lr': 0.025671975488200185, 'dropout': 0.1429630637834528, 'pos_weight': 0.47448220578168687, 'reduction': 'mean', 'n_layers': 4, 'n_units_l0': 524, 'n_units_l1': 579, 'n_units_l2': 605, 'n_units_l3': 61}"
21,0.30988187996716343,"{'clf_lr': 0.011873786131210328, 'dropout': 0.020761977528597764, 'pos_weight': 0.32304674111736614, 'reduction': 'mean', 'n_layers': 2, 'n_units_l0': 640, 'n_units_l1': 466}"
22,0.27377121681513916,"{'clf_lr': 0.005376789450005866, 'dropout': 0.08805620615004581, 'pos_weight': 0.2741921453230466, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 658, 'n_units_l1': 650, 'n_units_l2': 607}"
23,0.45902116114811076,"{'clf_lr': 0.023383640976139264, 'dropout': 0.20003034289169508, 'pos_weight': 0.6159437391869925, 'reduction': 'mean', 'n_layers': 2, 'n_units_l0': 428, 'n_units_l1': 266}"
24,0.22263358264973832,"{'clf_lr': 0.010030518429160949, 'dropout': 0.06570959242077881, 'pos_weight': 0.010718936155718034, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 509, 'n_units_l1': 166, 'n_units_l2': 610}"
25,0.11854104325031936,"{'clf_lr': 0.04199559699247606, 'dropout': 0.1743254168167589, 'pos_weight': 0.024438411647414116, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 495, 'n_units_l1': 151, 'n_units_l2': 627}"
26,2.39005387413628,"{'clf_lr': 0.0448654875601919, 'dropout': 0.1510509162591302, 'pos_weight': 0.008591528092731407, 'reduction': 'mean', 'n_layers': 4, 'n_units_l0': 530, 'n_units_l1': 155, 'n_units_l2': 570, 'n_units_l3': 280}"
27,1.2795197554226732,"{'clf_lr': 0.04970013850961408, 'dropout': 0.23395367820151317, 'pos_weight': 1.0779634323240732, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 370, 'n_units_l1': 135, 'n_units_l2': 765}"
28,0.4196785905880538,"{'clf_lr': 0.02928194162216414, 'dropout': 0.4381295212964875, 'pos_weight': 0.511832035451153, 'reduction': 'mean', 'n_layers': 4, 'n_units_l0': 646, 'n_units_l1': 11, 'n_units_l2': 546, 'n_units_l3': 7}"
29,0.7292500330673823,"{'clf_lr': 0.06992543712576181, 'dropout': 0.10200037424736094, 'pos_weight': 0.7686400335960928, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 306, 'n_units_l1': 328, 'n_units_l2': 651}"
30,0.47248113506339745,"{'clf_lr': 0.006583197852777314, 'dropout': 0.10195071726688013, 'pos_weight': 0.6557638205374675, 'reduction': 'mean', 'n_layers': 2, 'n_units_l0': 66, 'n_units_l1': 199}"
31,0.4237677015163595,"{'clf_lr': 0.017473606534459295, 'dropout': 0.012864794847688377, 'pos_weight': 0.32413177863732867, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 469, 'n_units_l1': 362, 'n_units_l2': 678}"
32,0.08535304562931134,"{'clf_lr': 0.017707833720912478, 'dropout': 0.07664649752857276, 'pos_weight': 0.028971813650794345, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 420, 'n_units_l1': 106, 'n_units_l2': 670}"
33,0.040833554076249584,"{'clf_lr': 0.01921315015986088, 'dropout': 0.1926454421864792, 'pos_weight': 0.008885006219420271, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 408, 'n_units_l1': 109, 'n_units_l2': 681}"
34,0.6292933571720346,"{'clf_lr': 0.02054600351883547, 'dropout': 0.2990766251246051, 'pos_weight': 1.0303790671724984, 'reduction': 'mean', 'n_layers': 4, 'n_units_l0': 398, 'n_units_l1': 112, 'n_units_l2': 688, 'n_units_l3': 210}"
35,0.39270609030150255,"{'clf_lr': 0.0326313280865364, 'dropout': 0.22946893131847865, 'pos_weight': 0.32080571575569766, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 260, 'n_units_l1': 252, 'n_units_l2': 752}"
36,4.00335890907432,"{'clf_lr': 0.04325917788801725, 'dropout': 0.18141618634508358, 'pos_weight': 0.4776392496897937, 'reduction': 'sum', 'n_layers': 2, 'n_units_l0': 325, 'n_units_l1': 108}"
37,0.42915319173575184,"{'clf_lr': 0.01775925375126183, 'dropout': 0.12125350068900619, 'pos_weight': 0.15426066657192694, 'reduction': 'mean', 'n_layers': 6, 'n_units_l0': 432, 'n_units_l1': 69, 'n_units_l2': 511, 'n_units_l3': 459, 'n_units_l4': 727, 'n_units_l5': 751}"
38,71.23259740475461,"{'clf_lr': 0.05049755161531481, 'dropout': 0.2895298266016981, 'pos_weight': 0.0035594549724818833, 'reduction': 'sum', 'n_layers': 4, 'n_units_l0': 361, 'n_units_l1': 213, 'n_units_l2': 650, 'n_units_l3': 613}"
39,0.8220405792046671,"{'clf_lr': 0.02994810818909404, 'dropout': 0.210892052749181, 'pos_weight': 1.6068131105112222, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 568, 'n_units_l1': 15, 'n_units_l2': 703}"
40,4.652912256077844,"{'clf_lr': 0.006087742233806189, 'dropout': 0.3448269943307011, 'pos_weight': 0.6439799567370353, 'reduction': 'sum', 'n_layers': 4, 'n_units_l0': 436, 'n_units_l1': 311, 'n_units_l2': 355, 'n_units_l3': 116}"
41,0.14424329839839667,"{'clf_lr': 0.008796906997843591, 'dropout': 0.06252194719771742, 'pos_weight': 0.11186326954726916, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 521, 'n_units_l1': 81, 'n_units_l2': 610}"
42,0.23677517977966328,"{'clf_lr': 0.018049725372072084, 'dropout': 0.072538065909339, 'pos_weight': 0.15447742295300965, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 547, 'n_units_l1': 80, 'n_units_l2': 636}"
43,0.29372485876163257,"{'clf_lr': 0.0043688879773726656, 'dropout': 0.16835404363447146, 'pos_weight': 0.3125922748306375, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 456, 'n_units_l1': 59, 'n_units_l2': 560}"
44,0.8969138726401717,"{'clf_lr': 0.02203704799255525, 'dropout': 0.10996450179787524, 'pos_weight': 2.009532213860568, 'reduction': 'mean', 'n_layers': 4, 'n_units_l0': 399, 'n_units_l1': 106, 'n_units_l2': 709, 'n_units_l3': 341}"
45,0.16948945589764883,"{'clf_lr': 0.027064029740004943, 'dropout': 0.007430516468878941, 'pos_weight': 0.12285596179128228, 'reduction': 'mean', 'n_layers': 2, 'n_units_l0': 609, 'n_units_l1': 40}"
46,1.0699419691246927,"{'clf_lr': 0.008231904385483409, 'dropout': 0.42555316404031557, 'pos_weight': 2.957582224848034, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 345, 'n_units_l1': 225, 'n_units_l2': 579}"
47,3.516685925882398,"{'clf_lr': 0.0010362838418387582, 'dropout': 0.24636985040567108, 'pos_weight': 0.4152522412069286, 'reduction': 'sum', 'n_layers': 5, 'n_units_l0': 278, 'n_units_l1': 302, 'n_units_l2': 489, 'n_units_l3': 524, 'n_units_l4': 567}"
48,1.0034135620647564,"{'clf_lr': 0.014994478872451557, 'dropout': 0.8116689077380549, 'pos_weight': 2.350674169967667, 'reduction': 'mean', 'n_layers': 2, 'n_units_l0': 510, 'n_units_l1': 150}"
49,0.1421528404579966,"{'clf_lr': 0.07008044575766757, 'dropout': 0.07459774600801794, 'pos_weight': 0.09624762745268343, 'reduction': 'mean', 'n_layers': 3, 'n_units_l0': 219, 'n_units_l1': 508, 'n_units_l2': 420}"
