trial_number,value,params
0,0.5347137881649865,"{'clf_lr': 0.08709298672514652, 'clf_dropout': 0.0118867722125644, 'clf_n_layers': 3, 'clf_pos_weight': 3.664899708635775, 'clf_n_units_l0': 67, 'clf_n_units_l1': 232, 'clf_n_units_l2': 457}"
1,0.5739395154847039,"{'clf_lr': 0.0041069670449930575, 'clf_dropout': 0.7660811294240717, 'clf_n_layers': 3, 'clf_pos_weight': 3.1295179901672365, 'clf_n_units_l0': 204, 'clf_n_units_l1': 168, 'clf_n_units_l2': 195}"
2,0.5243449575371213,"{'clf_lr': 0.024976629457215852, 'clf_dropout': 0.8645017036027012, 'clf_n_layers': 6, 'clf_pos_weight': 2.051356253739321, 'clf_n_units_l0': 376, 'clf_n_units_l1': 753, 'clf_n_units_l2': 390, 'clf_n_units_l3': 106, 'clf_n_units_l4': 134, 'clf_n_units_l5': 524}"
3,0.5280175242159102,"{'clf_lr': 0.029177052545496514, 'clf_dropout': 0.7697988145749103, 'clf_n_layers': 3, 'clf_pos_weight': 3.4067259008469475, 'clf_n_units_l0': 187, 'clf_n_units_l1': 169, 'clf_n_units_l2': 690}"
4,0.5003716349601746,"{'clf_lr': 0.05429492234360929, 'clf_dropout': 0.8467778076749355, 'clf_n_layers': 6, 'clf_pos_weight': 4.685748644849449, 'clf_n_units_l0': 149, 'clf_n_units_l1': 127, 'clf_n_units_l2': 617, 'clf_n_units_l3': 112, 'clf_n_units_l4': 110, 'clf_n_units_l5': 659}"
5,0.5751186973518796,"{'clf_lr': 0.003940845171957209, 'clf_dropout': 0.3640968633627475, 'clf_n_layers': 1, 'clf_pos_weight': 1.826012769982907, 'clf_n_units_l0': 86}"
6,0.5843501256571876,"{'clf_lr': 0.04321610718348454, 'clf_dropout': 0.3304588710997749, 'clf_n_layers': 1, 'clf_pos_weight': 1.2287067628740385, 'clf_n_units_l0': 435}"
7,0.5022117429309421,"{'clf_lr': 0.061232966150542766, 'clf_dropout': 0.21713828584421757, 'clf_n_layers': 6, 'clf_pos_weight': 4.201957874815529, 'clf_n_units_l0': 743, 'clf_n_units_l1': 8, 'clf_n_units_l2': 691, 'clf_n_units_l3': 427, 'clf_n_units_l4': 407, 'clf_n_units_l5': 160}"
8,0.5,"{'clf_lr': 0.07049582878495891, 'clf_dropout': 0.8100962684623244, 'clf_n_layers': 5, 'clf_pos_weight': 2.3074295128854767, 'clf_n_units_l0': 523, 'clf_n_units_l1': 314, 'clf_n_units_l2': 107, 'clf_n_units_l3': 321, 'clf_n_units_l4': 761}"
9,0.4814997944566939,"{'clf_lr': 0.05715563463182622, 'clf_dropout': 0.579871382720433, 'clf_n_layers': 4, 'clf_pos_weight': 0.5236021828234887, 'clf_n_units_l0': 679, 'clf_n_units_l1': 651, 'clf_n_units_l2': 413, 'clf_n_units_l3': 388}"
10,0.5896969868077172,"{'clf_lr': 0.030863638304118125, 'clf_dropout': 0.485157394761489, 'clf_n_layers': 1, 'clf_pos_weight': 0.8086275236073057, 'clf_n_units_l0': 402}"
11,0.5854541096422408,"{'clf_lr': 0.03455680583369419, 'clf_dropout': 0.5097686904061651, 'clf_n_layers': 1, 'clf_pos_weight': 0.6236657290625764, 'clf_n_units_l0': 412}"
12,0.5526222255494859,"{'clf_lr': 0.032793271928429756, 'clf_dropout': 0.5566896541672974, 'clf_n_layers': 2, 'clf_pos_weight': 0.7626998634669416, 'clf_n_units_l0': 317, 'clf_n_units_l1': 484}"
13,0.5770272943708632,"{'clf_lr': 0.020446663778829487, 'clf_dropout': 0.45612239197795557, 'clf_n_layers': 1, 'clf_pos_weight': 0.9431278068124938, 'clf_n_units_l0': 544}"
